trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,100.37395790000005,None,t,2.746344200000067,100.37395790000005,None,,,,,,,,,,,,,,,,,,,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
,,,,,,,,,,,,,,-0.0890625,0.1075,0,0,0,0.003909920000523925,None,,,,,,,,,,,,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,103.13252020000004,None,106.1326974000001,None,space,0.35556130000009034,106.1326974000001,None,2,106.50029500000005,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,110.50062500000013,None,space,0.39297590000001037,110.50062500000013,None,3,110.90860229999998,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,112.90974760000017,None,space,0.6505197999999837,112.90974760000017,None,3,113.57537580000007,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,115.5764706,None,space,0.6456279999999879,115.5764706,None,1,116.23497540000017,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,120.2436282000001,None,space,0.4687363999998979,120.2436282000001,None,4,120.73010629999999,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,121.72923270000001,121.72923270000001,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,123.73002840000004,None,126.73135360000015,None,space,0.8725460000000567,126.73135360000015,None,4,127.61726850000014,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,129.6194184000001,None,space,1.0508936999999605,129.6194184000001,None,3,130.6838722,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,132.6885381000002,None,space,1.0095467000001008,132.6885381000002,None,2,133.7158425,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,137.7160189000001,None,space,0.2713625999999749,137.7160189000001,None,4,137.9937077000002,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,139.99441190000016,None,space,0.47928040000010697,139.99441190000016,None,2,140.48552080000013,None,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,141.4866965000001,141.4866965000001,001,,2021_Oct_14_1651,FingTap,2021.2.3,146.03507470420138,
