trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,42.18602569994982,None,None,42.18602569994982,None,,,,,,,,,,,,,,,,,,,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
,,,,,,,,,,,,,-0.2125,-0.3175,1,0,0,0.0007900004275143147,None,,,,,,,,,,,,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,43.50455579999834,None,46.519480900024064,None,space,4.482413399964571,46.519480900024064,None,1,51.02590859995689,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,54.027394099975936,None,None,,54.027394099975936,None,4,59.03350030002184,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,63.03378179995343,None,None,,63.03378179995343,None,3,68.03381900000386,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,72.03277930000331,None,None,,72.03277930000331,None,2,77.04707079997752,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,78.04820830002427,None,None,,78.04820830002427,None,4,83.04806169995572,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,86.04703320004046,86.04703320004046,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,90.0486301999772,None,93.0481958000455,None,None,,93.0481958000455,None,3,98.04905749997124,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,99.05433529999573,None,None,,99.05433529999573,None,1,104.0545751999598,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,108.06337600003462,None,None,,108.06337600003462,None,1,113.0616810999345,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,117.06291710003279,None,None,,117.06291710003279,None,3,122.0703411999857,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,125.07029249996413,None,None,,125.07029249996413,None,3,130.0704169999808,None,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,131.07137899997178,131.07137899997178,001,,2021_Oct_25_0413,FingTap,2021.2.3,145.88211275882938,
