,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,56,1  +  8,0,1.45,196.45,11        9,196.45,1.45,197.9, ,197.9,198,0.1,2,15.0,15.04659320000792,16.499790500005474,17.965754200005904,None,False,None
1,48,4  +  3,3,1.45,172.45,9        7,172.45,1.45,173.9, ,173.9,174,0.1,2,18.0,18.00580590000027,19.4606322000036,20.927874600005453,None,False,None
2,79,1  +  4,6,1.45,280.45,3        5,280.45,1.45,281.9, ,281.9,282,0.1,2,21.0,21.005660199996782,22.46105690000695,23.9269798000023,None,False,None
3,18,4  +  2,9,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1,24.0,23.994628100001137,25.449984500010032,26.921257800000603,None,False,None
4,26,2  +  3,12,1.45,91.45,5        7,91.45,1.45,92.9, ,92.9,93,0.1,1,27.0,27.00264760000573,28.455813599997782,29.9184385999979,None,False,None
5,62,1  +  7,15,1.45,229.45,6        8,229.45,1.45,230.9, ,230.9,231,0.1,2,30.0,29.997606000004453,31.451170900007128,32.91856010000629,None,False,None
6,39,7  +  2,18,1.45,130.45,7        9,130.45,1.45,131.9, ,131.9,132,0.1,2,33.0,32.9972628000105,34.452557600001455,35.92325010000786,None,False,None
7,78,5  +  1,21,1.45,277.45,8        6,277.45,1.45,278.9, ,278.9,279,0.1,2,36.0,36.00012740000966,37.453170699998736,38.920555999997305,None,False,None
8,21,5  +  3,24,1.45,76.45,6        8,76.45,1.45,77.9, ,77.9,78,0.1,2,39.0,39.00036180000461,40.455676600002334,41.9217023000092,None,False,None
9,8,4  +  6,27,1.45,22.45,12        10,22.45,1.45,23.9, ,23.9,24,0.1,2,42.0,42.001290100000915,43.45747880000272,44.92254660000617,None,False,None
10,47,4  +  6,30,1.45,169.45,10        8,169.45,1.45,170.9, ,170.9,171,0.1,1,45.0,45.002880700005335,46.45676280000771,47.92410319999908,None,False,None
11,52,5  +  4,33,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1,48.0,48.00380109999969,49.45826169999782,50.92531040000904,None,False,None
12,61,6  +  3,36,1.45,226.45,9        7,226.45,1.45,227.9, ,227.9,228,0.1,1,51.0,51.00522360000468,52.45881510000618,53.9263815000013,None,False,None
13,16,3  +  1,39,1.45,46.45,4        6,46.45,1.45,47.9, ,47.9,48,0.1,1,54.0,54.006320000000414,55.459940900007496,56.9269753999979,None,False,None
14,34,3  +  3,42,1.45,115.45,6        8,115.45,1.45,116.9, ,116.9,117,0.1,1,57.0,57.00772410001082,58.4604912000068,59.9277979000035,None,False,None
15,35,5  +  3,45,1.45,118.45,8        10,118.45,1.45,119.9, ,119.9,120,0.1,1,60.0,60.006662500003586,61.461911899998086,62.93012869999802,None,False,None
16,77,5  +  2,48,1.45,274.45,5        7,274.45,1.45,275.9, ,275.9,276,0.1,2,63.0,62.99592770000163,64.44985020000604,65.91769600000407,None,False,None
17,65,1  +  4,51,1.45,238.45,5        7,238.45,1.45,239.9, ,239.9,240,0.1,1,66.0,65.9962477000081,67.45046829999774,68.91773909999756,None,False,None
18,60,1  +  3,54,1.45,208.45,2        4,208.45,1.45,209.9, ,209.9,210,0.1,2,69.0,68.99784070000169,70.4520540000085,71.92796790000284,None,False,None
19,42,2  +  1,57,1.45,154.45,5        3,154.45,1.45,155.9, ,155.9,156,0.1,2,72.0,71.99829010000394,73.4525624000089,74.92184200001066,None,False,None
