trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,39.30324489995837,None,return,1.4446827999781817,39.30324489995837,None,,,,,,,,,,,,,,,,,,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
,,,,,,,,,,,,,,-1.0,-1.0,0,0,0,0.0015664801467210054,None,,,,,,,,,,,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,40.76161470008083,None,None,None,None,None,None,4,65.2063824001234,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,68.99972230009735,None,None,68.99972230009735,None,2,112.45842740009539,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,None,None,None,None,None,3,120.73793260008097,120.73793260008097,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,129.72983680013567,None,None,129.72983680013567,None,3,129.7453288999386,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,137.09091160004027,None,None,137.09091160004027,None,1,137.098924000049,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,141.09836900001392,141.09836900001392,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,144.0983065001201,None,151.12604180001654,None,None,151.12604180001654,None,4,152.10765439993702,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,157.13305529998615,None,None,157.13305529998615,None,4,160.11916430015117,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,676.0878246000502,None,None,676.0878246000502,None,4,676.0974908999633,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,678.1029725000262,None,None,678.1029725000262,None,3,683.7984633999877,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,687.7979671999346,None,None,687.7979671999346,None,3,701.7363412999548,None,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,705.7355558001436,705.7355558001436,001,,2021_Nov_04_1451,FingTap,2021.2.3,141.7084938995728,
